icao,name,lat,lon,runways,ils
EGTE,"Exeter",50.73426,-3.41399969,1,2
EGTG,"Bristol Filton",51.5194266,-2.59036319,1,2
EGUB,"Raf Benson",51.615029,-1.09586012,1,1
EGUL,"Raf Lakenheath",52.409407,0.56101762,1,2
EGUN,"Raf Mildenhall",52.361943135,0.48635346,1,2
EGUW,"Raf Wattisham",52.127023775,0.955427765,1,1
EGVA,"Raf Fairford",51.6835,-1.789999515,1,2
EGVN,"Raf Brize Norton",51.749979,-1.58295839,1,2
EGWU,"Raf Northolt",51.55369006,-0.415694306666667,6,1
EGXC,"Raf Coningsby",53.093165,-0.166128,1,1
EGXE,"Raf Leeming",54.29256518,-1.535453065,1,1
EGXG,"Raf Church Fenton",53.83597407,-1.196473525,2,1
EGXJ,"Raf Cottesmore",52.7357795,-0.6487195,1,1
EGXP,"Raf Scampton",53.3079445,-0.5508305,1,1
EGXU,"Raf Linton On Ouse",54.049117,-1.252806,2,2
EGXW,"Raf Waddington",53.169686,-0.5249245,2,1
EGYD,"Raf Cranwell",53.0287539233333,-0.489537635,3,1
EGYM,"Raf Marham",52.647657,0.554049,2,1
EGYP,"Raf Mount Pleasant",-51.8206265,-58.45011175,2,1
EHAM,"Schiphol",52.3148498658333,4.75812142833333,6,7
EHBK,"Maastricht",50.9113055,5.769639,1,2
EHEH,"Eindhoven",51.4501335,5.374513,1,2
EHGG,"Eelde",53.12200372,6.57915592,2,1
EHGR,"Gilze Rijen",51.56574475,4.93469275,2,1
EHKD,"De Kooy",52.9234855,4.7806295,1,1
EHLE,"Lelystad",52.45927625,5.5213625,2,1
EHLW,"Leeuwarden",53.2269995,5.75393075,2,4
EHRD,"Rotterdam The Hague",51.954338775,4.44181679,2,2
EHSB,"Soesterberg",52.127204,5.276483,1,1
EHVK,"Volkel",51.65444919,5.701348939,5,2
EHWO,"Woensdrecht",51.449,4.3420835,1,2
EICK,"Cork",51.84260523,-8.489055895,2,2
EICM,"Galway",53.30015129,-8.941745675,1,1
EIDW,"Dublin",53.4260016675,-6.2606108225,4,3
EIKN,"Ireland West Airport Knock",53.910305795,-8.818474045,1,1
EIKY,"Kerry",52.181322365,-9.52760022,2,1
EIME,"Baldonnel Casement",53.3007685,-6.451017585,2,1
EINN,"Shannon",52.7004769,-8.9168342,5,2
EIWF,"Waterford",52.18718212,-7.08690915,1,1
EKAH,"Aarhus",56.3042645,10.6194515,2,2
EKBI,"Billund",55.73882472375,9.14640171375,4,2
EKCH,"Kastrup",55.6129149133333,12.64096126,3,6
EKEB,"Esbjerg",55.5251175,8.5538295,2,2
EKKA,"Karup Int",56.2991064,9.1106182,5,2
EKOD,"Odense",55.475290675,10.333263315,2,1
EKRK,"Copenhagen Roskilde Int",55.5852955,12.129176,2,2
EKRN,"Bornholm Ronne",55.063265275,14.759558335,1,2
EKSB,"Sonderborg",54.962829175,9.794023445,1,1
EKSN,"Sindal",57.503525,10.22937093,1,1
EKSP,"Vojens Skrydstrup [mil]",55.2200735,9.2662615,2,1
EKTS,"Thisted",57.06879861,8.705223615,1,1
EKYT,"Aalborg",57.0941857625,9.855744,2,2
ELLX,"Luxembourg",49.628921875,6.214059075,2,2
ENAL,"Alesund Lufthavn - Vigra",62.560371,6.110165,1,1
ENAT,"Alta",69.977351,23.365433,1,1
ENBO,"Bodo",67.268487,14.356773,1,2
ENBR,"Bergen Lufthavn Flesland",60.29338797,5.21813987,1,2
ENCN,"Kristiansand Lufthavn Kjevik",58.2041905,8.0853375,1,2
ENDU,"Bardufoss",69.055932,18.538902,1,1
ENEV,"Evenes",68.4913,16.6781085,1,1
ENGM,"Oslo Gardermoen",60.2020257675,11.0951483825,4,4
ENHD,"Haugesund Lufthavn Karmoy",59.3440155,5.210871,1,1
ENKB,"Kvernberget",63.1118725,7.824532,1,1
ENKR,"Hoybuktmoen",69.7252152,29.89079978,1,1
ENLI,"Lista",58.0997095,6.6260195,1,1
ENML,"Molde Aro",62.745572,7.267482,1,1
ENNA,"Banak",70.0688125,24.973489,1,1
ENOL,"Orland",63.6989085,9.6040015,1,2
ENRO,"Roros",62.5791445,11.344735,1,1
ENRY,"Rygge",59.378793,10.7854265,1,1
ENSB,"Svalbard Longyear",78.2460375,15.467196,1,1
ENSG,"Sogndal Haukasen",61.155791665,7.136277775,1,1
ENTC,"Tromso Langnes",69.68286631,18.9193628,1,2
ENTO,"Torp",59.1866625,10.2585955,1,2
ENVA,"Vaernes",63.4596647075,10.9241639725,2,2
ENZV,"Stavanger Lufthavn Sola",58.88046425,5.63142975,2,3
EPBY,"Szwederowo",53.1030545,17.96554775,4,1
EPGD,"Lech Walesa",54.376167,18.471884,1,1
EPKK,"Balice",50.077821,19.785503,1,1
EPKT,"Pyrzowice",50.474263,19.074356,1,1
EPLL,"Lublinek",51.720129,19.3953645,2,1
EPPO,"Lawica",52.421566,16.823549,1,1
EPRZ,"Jasionka",50.107614,22.036096,2,1
EPSC,"Goleniow",53.584731,14.902195,1,1
EPSY,"Szymany",53.4797305,20.936497,1,1
EPWA,"Warszawa Okecie",52.16509137,20.96692341,2,2
